,tag,embedding,similarity
6,inspección-piezas,"[-0.02166526  0.01269986 -0.00233741 ...  0.02151696  0.00819694
  0.00394343]",0.8414429814242248
18,techo-coche,"[-0.0279971  -0.00205616  0.02554636 ...  0.00248404 -0.01874021
  0.00252567]",0.8318591762841762
2,tornillos,"[-0.04034382 -0.0226182   0.00330851 ...  0.02529175 -0.00029994
  0.00976513]",0.8298462972901082
16,automovil,"[-0.02963392 -0.00471005  0.01170514 ...  0.00882117 -0.0178116
  0.01280534]",0.8287158562132724
17,Rueda-coche,"[-0.02293518  0.00918193  0.0180233  ...  0.0022873  -0.01866512
 -0.00599249]",0.828555520333565
7,frenos,"[-0.0183805  -0.00141165 -0.0095363  ...  0.01791467 -0.00291812
  0.00158633]",0.8274723821376925
18,puerta-coche,"[-0.01113116  0.00194248  0.01599069 ... -0.00112787  0.01481061
  0.0019574 ]",0.8273577632967164
12,rodamiento,"[-0.03767419 -0.01001022 -0.01100092 ...  0.02234583 -0.01587875
 -0.00115152]",0.8267177925992268
17,Tornillos,"[-0.03224368 -0.01997145  0.00798987 ...  0.01898967 -0.00879725
  0.01151006]",0.8209166696962313
15,automocion,"[-0.03313567 -0.00060601  0.00997313 ...  0.00832446 -0.0123448
 -0.00702038]",0.8202610512886911
14,Test-frenos,"[-0.00718468 -0.00201729 -0.00552798 ...  0.01183158  0.00105287
  0.00164989]",0.8188902301202059
17,coche,"[-0.01899906  0.00211859  0.02392523 ...  0.00841444 -0.0112836
  0.01300111]",0.8185724293885451
11,Frenos,"[-0.01715554  0.00233746 -0.0055026  ...  0.01599091 -0.00885258
  0.00656255]",0.8139853164137483
15,automoción,"[-0.02194532 -0.00145193  0.02387357 ...  0.00062881 -0.01301241
  0.01158917]",0.8125718467342393
9,Locate-tornillos,"[-0.0491162  -0.00887797  0.01062922 ...  0.02991328 -0.00655536
 -0.00071462]",0.8106402673157934
12,llantas,"[-0.01275827  0.01446638  0.02351936 ...  0.00523601  0.00242749
 -0.03119271]",0.8082703777450515
3,verificacion-componentes,"[-0.00903069  0.01301827 -0.01931699 ...  0.00891341  0.00667471
 -0.00058037]",0.8081002894143853
16,aluminio-inyectado,"[-0.03912773  0.00885348 -0.00926465 ... -0.01047827 -0.01996177
  0.0129851 ]",0.8062888917861929
17,inspeccion,"[-0.02049726  0.00947411 -0.00290101 ...  0.00883097  0.0005018
  0.00472668]",0.8052966295940638
7,medida,"[-0.00379607 -0.00107724  0.01039731 ...  0.00342797 -0.01939901
 -0.02375332]",0.8050985919381395
3,Defectos-pan-trasera,"[-0.01757069  0.01203893  0.01220945 ...  0.01470591 -0.0139215
 -0.01833464]",0.802682748930913
16,cepillos-interdentales,"[-0.02145466  0.01023728  0.02816763 ...  0.01103613  0.00140217
 -0.00327593]",0.8020731542817504
1,Automoción,"[-0.01335001  0.00650121  0.03308536 ...  0.00032265 -0.02218135
  0.01683877]",0.8010478680466437
10,soldadura,"[-0.01794219  0.00513892 -0.00406915 ...  0.00532511  0.0032516
  0.02307434]",0.8003260642533451
3,doble-chapa,"[-0.02585668  0.02417661  0.01421912 ... -0.0030733  -0.01301029
 -0.01513428]",0.8002743222986018
13,Automocion,"[-0.03134874 -0.00218902  0.0148487  ...  0.003579   -0.01550124
 -0.00659202]",0.7998141007830758
17,conectores,"[-0.02905781  0.00382599  0.02377329 ...  0.00475959 -0.02273048
  0.01538852]",0.7992569585613062
5,insertos-metálicos,"[-0.03990717  0.00034922  0.00128412 ... -0.0092632  -0.00608908
  0.00440271]",0.79919887450809
18,detección-grietas,"[-0.02152224  0.01142675  0.00587632 ... -0.00731506 -0.00537709
  0.02418478]",0.799162052952416
15,agujero,"[-0.02890593  0.00646176  0.01260293 ...  0.00652855  0.00908319
  0.02182638]",0.7975835767479162
12,medidas,"[-0.01232013  0.00450159  0.00725885 ...  0.0004129  -0.00992341
 -0.02381618]",0.7969070483968026
0,Soldadura-tortita,"[-0.02943173 -0.0045267   0.00735139 ...  0.01047392 -0.00499148
  0.01561924]",0.7959125678921449
9,tiautomotive,"[-0.00459504 -0.01360787  0.0067119  ...  0.0033389  -0.01154896
 -0.01428962]",0.7957227618311882
6,denso,"[-2.29590070e-02 -7.75072840e-04  1.01491878e-05 ...  4.43979586e-03
 -1.13419425e-02 -5.46118990e-03]",0.7956704906011255
19,agujero-etiqueta,"[-0.03852324  0.00420608  0.0066399  ...  0.01387171  0.00461346
  0.00456123]",0.795477440538784
6,Denso,"[-0.02548325 -0.00241821 -0.00378531 ... -0.00216303 -0.02141404
  0.00563403]",0.7953893725697312
14,Soldadura-plastico,"[-0.03293892  0.01351912 -0.00190953 ...  0.01147355 -0.01846258
  0.00942798]",0.7951325748045722
0,Control-cuerpos-extraños-y-uniformidad-producto,"[-0.01938748 -0.00337445  0.01383038 ...  0.02522174 -0.01317212
 -0.00586544]",0.7948151301579583
15,Anillo-de-plástico,"[-0.04089969  0.00251985  0.0028522  ...  0.01285721 -0.01617733
 -0.01464293]",0.7940036946209102
2,Defectos-en-bollos,"[-0.04181423  0.00197449  0.01950696 ...  0.02108383 -0.00924372
 -0.00213081]",0.7938330659229494
